path_id,byte_size,gameobject_file_id,gameobject_path_id,enabled,script_file_id,script_path_id,script_name,m_name,fields_offset
263710,36,0,6015,1,1,143,AdManager,,32
269596,104,0,2802,1,1,830,Adjust,,32
101,184,0,0,1,0,96,AdjustSettings,AdjustSettings,48
103,240,0,0,1,0,97,AppLovinSettings,AppLovinSettings,48
273641,100,0,91484,1,1,708,AutomationActiveHudCell,,32
305098,100,0,40902,1,1,708,AutomationActiveHudCell,,32
305099,100,0,40900,1,1,708,AutomationActiveHudCell,,32
305100,100,0,40901,1,1,708,AutomationActiveHudCell,,32
305101,100,0,40903,1,1,708,AutomationActiveHudCell,,32
305102,100,0,40904,1,1,708,AutomationActiveHudCell,,32
305103,100,0,40906,1,1,708,AutomationActiveHudCell,,32
305104,100,0,40905,1,1,708,AutomationActiveHudCell,,32
266741,216,0,8416,1,1,1094,AutomationActiveHudPanel,,32
284886,196,0,52828,1,1,659,AutomationFunctionActiveCell,,32
291343,196,0,62318,1,1,659,AutomationFunctionActiveCell,,32
291344,196,0,62317,1,1,659,AutomationFunctionActiveCell,,32
291345,196,0,62316,1,1,659,AutomationFunctionActiveCell,,32
291346,196,0,62313,1,1,659,AutomationFunctionActiveCell,,32
291347,196,0,62314,1,1,659,AutomationFunctionActiveCell,,32
291348,196,0,62315,1,1,659,AutomationFunctionActiveCell,,32
291349,196,0,62312,1,1,659,AutomationFunctionActiveCell,,32
289190,248,0,67069,1,1,908,AutomationFunctionCell,,32
289191,252,0,67071,1,1,908,AutomationFunctionCell,,32
289192,248,0,67070,1,1,908,AutomationFunctionCell,,32
289193,240,0,67073,1,1,908,AutomationFunctionCell,,32
289194,248,0,67072,1,1,908,AutomationFunctionCell,,32
289195,252,0,67076,1,1,908,AutomationFunctionCell,,32
289196,252,0,67074,1,1,908,AutomationFunctionCell,,32
289197,248,0,67075,1,1,908,AutomationFunctionCell,,32
289198,252,0,67077,1,1,908,AutomationFunctionCell,,32
289199,248,0,67078,1,1,908,AutomationFunctionCell,,32
289200,256,0,67080,1,1,908,AutomationFunctionCell,,32
289201,248,0,67079,1,1,908,AutomationFunctionCell,,32
289202,240,0,67081,1,1,908,AutomationFunctionCell,,32
289203,248,0,67082,1,1,908,AutomationFunctionCell,,32
289204,240,0,67084,1,1,908,AutomationFunctionCell,,32
289205,252,0,67083,1,1,908,AutomationFunctionCell,,32
256148,412,0,52,1,1,1115,AutomationFunctionDetailsMenu,,32
257074,80,0,764,1,1,696,AutomationInfoPanel,,32
257329,452,0,938,1,1,1457,AutomationPanel,,32
283812,244,0,49465,1,1,321,AutomationUpgradeActiveCell,,32
293157,244,0,64884,1,1,321,AutomationUpgradeActiveCell,,32
293158,244,0,64885,1,1,321,AutomationUpgradeActiveCell,,32
293159,244,0,64886,1,1,321,AutomationUpgradeActiveCell,,32
275657,244,0,70948,1,1,414,AutomationUpgradeCell,,32
275658,244,0,70950,1,1,414,AutomationUpgradeCell,,32
275659,244,0,70949,1,1,414,AutomationUpgradeCell,,32
275660,244,0,70951,1,1,414,AutomationUpgradeCell,,32
318647,244,0,43193,1,1,414,AutomationUpgradeCell,,32
263889,2112,0,6157,1,1,1485,BossPanelSidePanel,,32
256094,460,0,11,1,1,798,Button,,32
256099,480,0,18,1,1,798,Button,,32
256104,468,0,21,1,1,798,Button,,32
256113,456,0,26,1,1,798,Button,,32
256116,452,0,29,1,1,798,Button,,32
256127,460,0,38,1,1,798,Button,,32
256132,480,0,40,1,1,798,Button,,32
256146,456,0,52,1,1,798,Button,,32
256150,452,0,53,1,1,798,Button,,32
256161,456,0,61,1,1,798,Button,,32
256172,456,0,68,1,1,798,Button,,32
256206,452,0,93,1,1,798,Button,,32
256265,460,0,144,1,1,798,Button,,32
256272,464,0,148,1,1,798,Button,,32
256285,472,0,159,1,1,798,Button,,32
256303,464,0,171,1,1,798,Button,,32
256312,456,0,177,1,1,798,Button,,32
256315,452,0,178,1,1,798,Button,,32
256329,444,0,188,1,1,798,Button,,32
256341,452,0,192,1,1,798,Button,,32
