group,upgrade_key,level,status,+1,+10,+100,+1k,+10k,max_levels,max_to_level,max_cost,max_cost_game,max_remaining,max_remaining_game
Damage,researchDmg1,446,available,2.235,22.575,248.250,4.732.500,272.325.000,664,1110,2.584.620,"2,58M",5.380,"5,38K"
Damage,researchDmg2,112,available,8.475,88.125,1.218.750,45.937.500,3.834.375.000,173,285,2.582.025,"2,58M",7.975,"7,98K"
Damage,researchDmg3,31,available,32.000,365.000,8.150.000,531.500.000,50.315.000.000,47,78,2.585.000,"2,58M",5.000,"5,00K"
Damage,researchDmg4,10,available,110.000,1.550.000,60.500.000,5.105.000.000,501.050.000.000,14,24,2.450.000,"2,45M",140.000,"140,00K"
Damage,researchDmg5,10,available,1.100.000,15.500.000,605.000.000,51.050.000.000,5.010.500.000.000,2,12,2.300.000,"2,30M",290.000,"290,00K"
Damage,researchDmg6,0,locked,1.500.000.026.624,4.537500080538E+15,3.825375067898E+19,3.757503816693E+23,3.750750104073E+27,0,0,0,0,2.590.000,"2,59M"
Gold,researchKillGold1,446,available,2.235,22.575,248.250,4.732.500,272.325.000,664,1110,2.584.620,"2,58M",5.380,"5,38K"
Gold,researchKillGold2,112,available,8.475,88.125,1.218.750,45.937.500,3.834.375.000,173,285,2.582.025,"2,58M",7.975,"7,98K"
Gold,researchKillGold3,30,available,31.000,355.000,8.050.000,530.500.000,50.305.000.000,47,77,2.538.000,"2,54M",52.000,"52,00K"
Gold,researchKillGold4,9,available,100.000,1.450.000,59.500.000,5.095.000.000,500.950.000.000,15,24,2.550.000,"2,55M",40.000,"40,00K"
Gold,researchKillGold5,3,available,400.000,8.500.000,535.000.000,50.350.000.000,5.003.500.000.000,4,7,2.200.000,"2,20M",390.000,"390,00K"
Gold,researchKillGold6,0,locked,1.500.000.026.624,4.537500080538E+15,3.825375067898E+19,3.757503816693E+23,3.750750104073E+27,0,0,0,0,2.590.000,"2,59M"
Prestige,researchPrestigePower1,765,available,7.660,77.050,815.500,12.655.000,576.550.000,285,1050,2.587.800,"2,59M",2.200,"2,20K"
Prestige,researchPrestigePower2,195,available,29.400,300.750,3.682.500,104.325.000,7.793.250.000,74,269,2.580.750,"2,58M",9.250,"9,25K"
Prestige,researchPrestigePower3,38,available,97.500,1.087.500,22.125.000,1.346.250.000,125.962.500.000,21,59,2.572.500,"2,57M",17.500,"17,50K"
Prestige,researchPrestigePower4,11,available,480.000,6.600.000,246.000.000,20.460.000.000,2.004.600.000.000,4,15,2.160.000,"2,16M",430.000,"430,00K"
Prestige,researchPrestigePower5,0,locked,24.999.999.488,75.624.998.451.200,6.375624869427E+17,6.262506121744E+21,6.251249934474E+25,0,0,0,0,2.590.000,"2,59M"
